CHR_promoter	startPOS_promoter	endPOS_promoter	source_promoter	CHR_mir	startPOS_mir	endPOS_mir	kind_mir	score_mir	strand_mir	annotation_mir
chr13	88270956	88271101	Chesi, A. et al.	chr13	88270920	88270995	miRNA_primary_transcript	1	-	ID=MI0016863;Alias=MI0016863;Name=hsa-mir-4500
chr13	90880936	90883531	miRBase_v22_upstream_2k5	chr13	90883436	90883531	miRNA_primary_transcript	1	+	ID=MI0003636;Alias=MI0003636;Name=hsa-mir-622
chr13	92001687	92003584	Chesi, A. et al.	chr13	92002859	92002942	miRNA_primary_transcript	1	+	ID=MI0000071;Alias=MI0000071;Name=hsa-mir-17
chr13	92001687	92003584	Chesi, A. et al.	chr13	92003005	92003075	miRNA_primary_transcript	1	+	ID=MI0000072;Alias=MI0000072;Name=hsa-mir-18a
chr13	92001687	92003584	Chesi, A. et al.	chr13	92003145	92003226	miRNA_primary_transcript	1	+	ID=MI0000073;Alias=MI0000073;Name=hsa-mir-19a
chr13	92001687	92003584	Chesi, A. et al.	chr13	92003319	92003389	miRNA_primary_transcript	1	+	ID=MI0000076;Alias=MI0000076;Name=hsa-mir-20a
chr13	91999043	92001624	miRGen_v3_TSS_2k5	chr13	92003446	92003532	miRNA_primary_transcript	1	+	ID=MI0000074;Alias=MI0000074;Name=hsa-mir-19b-1
chr13	91999043	92001624	miRGen_v3_TSS_2k5	chr13	92003568	92003645	miRNA_primary_transcript	1	+	ID=MI0000093;Alias=MI0000093;Name=hsa-mir-92a-1
chr13	103934598	103934993	Chesi, A. et al.	chr13	93142416	93142473	miRNA_primary_transcript	1	+	ID=MI0019132;Alias=MI0019132;Name=hsa-mir-548as
chr13	97078281	97079610	Chesi, A. et al.	chr13	97079483	97079546	miRNA_primary_transcript	1	+	ID=MI0016864;Alias=MI0016864;Name=hsa-mir-4501
chr13	98860756	98860957	Chesi, A. et al.	chr13	98860778	98860854	miRNA_primary_transcript	1	+	ID=MI0014201;Alias=MI0014201;Name=hsa-mir-3170
chr13	100008301	100008708	Chesi, A. et al.	chr13	100008385	100008482	miRNA_primary_transcript	1	+	ID=MI0003637;Alias=MI0003637;Name=hsa-mir-623
chr13	100294909	100295585	Chesi, A. et al.	chr13	100295313	100295403	miRNA_primary_transcript	1	+	ID=MI0015836;Alias=MI0015836;Name=hsa-mir-4306
chr13	102619202	102620799	Chesi, A. et al.	chr13	102619992	102620096	miRNA_primary_transcript	1	-	ID=MI0012062;Alias=MI0012062;Name=hsa-mir-2681
chr13	102698025	102698343	Chesi, A. et al.	chr13	102698284	102698354	miRNA_primary_transcript	1	-	ID=MI0017338;Alias=MI0017338;Name=hsa-mir-4705
chr13	108182896	108183603	Chesi, A. et al.	chr13	108183519	108183596	miRNA_primary_transcript	1	-	ID=MI0006404;Alias=MI0006404;Name=hsa-mir-1267
chr13	110992972	110993853	Chesi, A. et al.	chr13	110993305	110993376	miRNA_primary_transcript	1	+	ID=MI0025909;Alias=MI0025909;Name=hsa-mir-8073
chr13	113917254	113917469	Chesi, A. et al.	chr13	113917234	113917313	miRNA_primary_transcript	1	+	ID=MI0025911;Alias=MI0025911;Name=hsa-mir-8075
chr13	115009898	115010302	Chesi, A. et al.	chr13	115009980	115010036	miRNA_primary_transcript	1	+	ID=MI0019131;Alias=MI0019131;Name=hsa-mir-548ar
chr13	115038808	115039293	Chesi, A. et al.	chr13	115039303	115039383	miRNA_primary_transcript	1	+	ID=MI0016865;Alias=MI0016865;Name=hsa-mir-4502
chr14	21491447	21491654	Chesi, A. et al.	chr14	21491473	21491545	miRNA_primary_transcript	1	-	ID=MI0022551;Alias=MI0022551;Name=hsa-mir-6717
chr14	23425609	23426824	Chesi, A. et al.	chr14	23426159	23426238	miRNA_primary_transcript	1	-	ID=MI0017340;Alias=MI0017340;Name=hsa-mir-4707
chr14	23857786	23859277	Chesi, A. et al.	chr14	23857805	23857875	miRNA_primary_transcript	1	-	ID=MI0000251;Alias=MI0000251;Name=hsa-mir-208a
chr14	23887054	23887232	Chesi, A. et al.	chr14	23887196	23887272	miRNA_primary_transcript	1	-	ID=MI0005570;Alias=MI0005570;Name=hsa-mir-208b
chr14	24612588	24612999	Chesi, A. et al.	chr14	24612698	24612774	miRNA_primary_transcript	1	-	ID=MI0025239;Alias=MI0025239;Name=hsa-mir-7703
chr14	27377507	27377993	Chesi, A. et al.	chr14	27377848	27377931	miRNA_primary_transcript	1	+	ID=MI0015838;Alias=MI0015838;Name=hsa-mir-4307
chr14	28101861	28103792	Chesi, A. et al.	chr14	28102411	28102484	miRNA_primary_transcript	1	-	ID=MI0014202;Alias=MI0014202;Name=hsa-mir-3171
chr14	31481352	31483948	miRBase_v22_upstream_2k5	chr14	31483852	31483948	miRNA_primary_transcript	1	-	ID=MI0003638;Alias=MI0003638;Name=hsa-mir-624
chr14	37421215	37421850	Chesi, A. et al.	chr14	37421514	37421596	miRNA_primary_transcript	1	-	ID=MI0016866;Alias=MI0016866;Name=hsa-mir-4503
chr14	48230120	48230449	Chesi, A. et al.	chr14	48230198	48230307	miRNA_primary_transcript	1	-	ID=MI0016595;Alias=MI0016595;Name=hsa-mir-548y
chr14	50430617	50433229	miRBase_v22_upstream_2k5	chr14	50433117	50433229	miRNA_primary_transcript	1	+	ID=MI0020353;Alias=MI0020353;Name=hsa-mir-6076
chr14	50764073	50766664	miRBase_v22_upstream_2k5	chr14	50766573	50766664	miRNA_primary_transcript	1	-	ID=MI0016867;Alias=MI0016867;Name=hsa-mir-4504
chr14	54415133	54415420	Chesi, A. et al.	chr14	54415145	54415202	miRNA_primary_transcript	1	-	ID=MI0019135;Alias=MI0019135;Name=hsa-mir-5580
chr14	55344667	55344944	Chesi, A. et al.	chr14	55344831	55344911	miRNA_primary_transcript	1	-	ID=MI0015839;Alias=MI0015839;Name=hsa-mir-4308
chr10	28835217	28835989	Chesi, A. et al.	chr14	60113680	60113738	miRNA_primary_transcript	1	-	ID=MI0019143;Alias=MI0019143;Name=hsa-mir-5586
chr14	61112866	61115429	miRBase_v22_upstream_2k5	chr14	61115366	61115429	miRNA_primary_transcript	1	+	ID=MI0030983;Alias=MI0030983;Name=hsa-mir-9718
chr14	64559242	64561843	miRBase_v22_upstream_2k5	chr14	64561742	64561843	miRNA_primary_transcript	1	-	ID=MI0006411;Alias=MI0006411;Name=hsa-mir-548h-1
chr14	65252168	65252495	Chesi, A. et al.	chr14	65252344	65252404	miRNA_primary_transcript	1	-	ID=MI0025525;Alias=MI0025525;Name=hsa-mir-7855
chr14	65510806	65511977	Chesi, A. et al.	chr14	65511406	65511487	miRNA_primary_transcript	1	+	ID=MI0017339;Alias=MI0017339;Name=hsa-mir-4706
chr14	65800296	65802441	Chesi, A. et al.	chr14	65801835	65801901	miRNA_primary_transcript	1	-	ID=MI0017341;Alias=MI0017341;Name=hsa-mir-4708
chr14	65937253	65937862	Chesi, A. et al.	chr14	65937820	65937904	miRNA_primary_transcript	1	+	ID=MI0003639;Alias=MI0003639;Name=hsa-mir-625
chr10	122344258	122344500	Chesi, A. et al.	chr14	67908572	67908647	miRNA_primary_transcript	1	-	ID=MI0019301;Alias=MI0019301;Name=hsa-mir-5694
chr14	72983324	72983558	Chesi, A. et al.	chr14	72983528	72983606	miRNA_primary_transcript	1	+	ID=MI0025510;Alias=MI0025510;Name=hsa-mir-7843
chr14	74225245	74227608	Chesi, A. et al.	chr14	74225450	74225522	miRNA_primary_transcript	1	+	ID=MI0016868;Alias=MI0016868;Name=hsa-mir-4505
chr14	74946302	74947404	Chesi, A. et al.	chr14	74946836	74946907	miRNA_primary_transcript	1	-	ID=MI0017342;Alias=MI0017342;Name=hsa-mir-4709
chr14	77731810	77733794	Chesi, A. et al.	chr14	77732561	77732633	miRNA_primary_transcript	1	+	ID=MI0006394;Alias=MI0006394;Name=hsa-mir-1260a
chr14	94413882	94414115	Chesi, A. et al.	chr14	94414572	94414648	miRNA_primary_transcript	1	-	ID=MI0016869;Alias=MI0016869;Name=hsa-mir-4506
chr14	95604248	95604435	Chesi, A. et al.	chr14	95604256	95604323	miRNA_primary_transcript	1	-	ID=MI0014204;Alias=MI0014204;Name=hsa-mir-3173
chr14	100573888	100576204	Chesi, A. et al.	chr14	100575756	100575851	miRNA_primary_transcript	1	-	ID=MI0003772;Alias=MI0003772;Name=hsa-mir-151b
chr14	100573888	100576204	Chesi, A. et al.	chr14	100575992	100576090	miRNA_primary_transcript	1	+	ID=MI0000805;Alias=MI0000805;Name=hsa-mir-342
chr14	100741379	100743731	Chesi, A. et al.	chr14	100743694	100743754	miRNA_primary_transcript	1	+	ID=MI0022609;Alias=MI0022609;Name=hsa-mir-6764
chr14	100773919	100774874	Chesi, A. et al.	chr14	100774196	100774293	miRNA_primary_transcript	1	+	ID=MI0000825;Alias=MI0000825;Name=hsa-mir-345
chr14	101280400	101281148	Chesi, A. et al.	chr14	101280828	101280911	miRNA_primary_transcript	1	+	ID=MI0016870;Alias=MI0016870;Name=hsa-mir-2392
chr14	101317490	101319301	Chesi, A. et al.	chr14	101318727	101318824	miRNA_primary_transcript	1	+	ID=MI0005118;Alias=MI0005118;Name=hsa-mir-770
chr14	101335062	101335640	Chesi, A. et al.	chr14	101335397	101335485	miRNA_primary_transcript	1	+	ID=MI0003132;Alias=MI0003132;Name=hsa-mir-493
chr14	101340262	101342154	Chesi, A. et al.	chr14	101340830	101340922	miRNA_primary_transcript	1	+	ID=MI0000806;Alias=MI0000806;Name=hsa-mir-337
chr14	101340262	101342154	Chesi, A. et al.	chr14	101341370	101341441	miRNA_primary_transcript	1	+	ID=MI0005563;Alias=MI0005563;Name=hsa-mir-665
chr14	101347269	101347909	Chesi, A. et al.	chr14	101347344	101347457	miRNA_primary_transcript	1	+	ID=MI0001721;Alias=MI0001721;Name=hsa-mir-431
chr14	101348049	101348265	Chesi, A. et al.	chr14	101348223	101348315	miRNA_primary_transcript	1	+	ID=MI0001723;Alias=MI0001723;Name=hsa-mir-433
chr14	101348914	101349318	Chesi, A. et al.	chr14	101349316	101349412	miRNA_primary_transcript	1	+	ID=MI0000472;Alias=MI0000472;Name=hsa-mir-127
chr14	101350555	101350788	Chesi, A. et al.	chr14	101350820	101350913	miRNA_primary_transcript	1	+	ID=MI0003133;Alias=MI0003133;Name=hsa-mir-432
chr14	101350908	101351202	Chesi, A. et al.	chr14	101351039	101351120	miRNA_primary_transcript	1	+	ID=MI0000475;Alias=MI0000475;Name=hsa-mir-136
chr14	101377295	101377890	Chesi, A. et al.	chr14	101377476	101377550	miRNA_primary_transcript	1	+	ID=MI0000778;Alias=MI0000778;Name=hsa-mir-370
chr14	101486393	101488913	Chesi, A. et al.	chr14	101488403	101488469	miRNA_primary_transcript	1	+	ID=MI0000787;Alias=MI0000787;Name=hsa-mir-379
chr14	101489172	101490709	Chesi, A. et al.	chr14	101489662	101489757	miRNA_primary_transcript	1	+	ID=MI0003675;Alias=MI0003675;Name=hsa-mir-411
chr14	101489172	101490709	Chesi, A. et al.	chr14	101490131	101490193	miRNA_primary_transcript	1	+	ID=MI0000744;Alias=MI0000744;Name=hsa-mir-299
chr14	101490709	101491483	Chesi, A. et al.	chr14	101491354	101491414	miRNA_primary_transcript	1	+	ID=MI0000788;Alias=MI0000788;Name=hsa-mir-380
chr14	101491483	101492598	Chesi, A. et al.	chr14	101491901	101491988	miRNA_primary_transcript	1	+	ID=MI0006656;Alias=MI0006656;Name=hsa-mir-1197
chr14	101491483	101492598	Chesi, A. et al.	chr14	101492069	101492154	miRNA_primary_transcript	1	+	ID=MI0000807;Alias=MI0000807;Name=hsa-mir-323a
chr14	101491483	101492598	Chesi, A. et al.	chr14	101492357	101492444	miRNA_primary_transcript	1	+	ID=MI0003757;Alias=MI0003757;Name=hsa-mir-758
chr14	101492689	101493607	Chesi, A. et al.	chr14	101493122	101493201	miRNA_primary_transcript	1	+	ID=MI0001725;Alias=MI0001725;Name=hsa-mir-329-1
chr14	101492689	101493607	Chesi, A. et al.	chr14	101493437	101493520	miRNA_primary_transcript	1	+	ID=MI0001726;Alias=MI0001726;Name=hsa-mir-329-2
chr14	101495953	101496314	Chesi, A. et al.	chr14	101495971	101496051	miRNA_primary_transcript	1	+	ID=MI0003134;Alias=MI0003134;Name=hsa-mir-494
chr14	101496314	101497559	Chesi, A. et al.	chr14	101496389	101496466	miRNA_primary_transcript	1	+	ID=MI0014205;Alias=MI0014205;Name=hsa-mir-1193
chr14	101497955	101498474	Chesi, A. et al.	chr14	101498324	101498401	miRNA_primary_transcript	1	+	ID=MI0005565;Alias=MI0005565;Name=hsa-mir-543
chr14	101499862	101500467	Chesi, A. et al.	chr14	101500092	101500173	miRNA_primary_transcript	1	+	ID=MI0003135;Alias=MI0003135;Name=hsa-mir-495
chr14	101504500	101506499	Chesi, A. et al.	chr14	101506027	101506092	miRNA_primary_transcript	1	+	ID=MI0000776;Alias=MI0000776;Name=hsa-mir-376c
chr14	101503906	101506485	miRBase_v22_upstream_2k5	chr14	101506406	101506485	miRNA_primary_transcript	1	+	ID=MI0003529;Alias=MI0003529;Name=hsa-mir-376a-2
chr14	101506499	101507612	Chesi, A. et al.	chr14	101506556	101506636	miRNA_primary_transcript	1	+	ID=MI0003676;Alias=MI0003676;Name=hsa-mir-654
chr14	101506499	101507612	Chesi, A. et al.	chr14	101506773	101506872	miRNA_primary_transcript	1	+	ID=MI0002466;Alias=MI0002466;Name=hsa-mir-376b
chr14	101504619	101507186	miRBase_v22_upstream_2k5	chr14	101507119	101507186	miRNA_primary_transcript	1	+	ID=MI0000784;Alias=MI0000784;Name=hsa-mir-376a-1
chr14	101507612	101508223	Chesi, A. et al.	chr14	101507700	101507782	miRNA_primary_transcript	1	+	ID=MI0005525;Alias=MI0005525;Name=hsa-mir-300
chr14	101508223	101509509	Chesi, A. et al.	chr14	101509314	101509399	miRNA_primary_transcript	1	+	ID=MI0003844;Alias=MI0003844;Name=hsa-mir-1185-1
chr14	101510082	101510868	Chesi, A. et al.	chr14	101510535	101510620	miRNA_primary_transcript	1	+	ID=MI0003821;Alias=MI0003821;Name=hsa-mir-1185-2
chr14	101512155	101512910	Chesi, A. et al.	chr14	101512257	101512331	miRNA_primary_transcript	1	+	ID=MI0000789;Alias=MI0000789;Name=hsa-mir-381
chr14	101512155	101512910	Chesi, A. et al.	chr14	101512792	101512875	miRNA_primary_transcript	1	+	ID=MI0003530;Alias=MI0003530;Name=hsa-mir-487b
chr14	101512953	101514051	Chesi, A. et al.	chr14	101513658	101513735	miRNA_primary_transcript	1	+	ID=MI0003514;Alias=MI0003514;Name=hsa-mir-539
chr14	101514051	101514429	Chesi, A. et al.	chr14	101514238	101514316	miRNA_primary_transcript	1	+	ID=MI0005540;Alias=MI0005540;Name=hsa-mir-889
chr14	101514429	101515010	Chesi, A. et al.	chr14	101514995	101515085	miRNA_primary_transcript	1	+	ID=MI0003515;Alias=MI0003515;Name=hsa-mir-544a
chr14	101515509	101516724	Chesi, A. et al.	chr14	101515887	101515983	miRNA_primary_transcript	1	+	ID=MI0003677;Alias=MI0003677;Name=hsa-mir-655
chr14	101518573	101519554	Chesi, A. et al.	chr14	101518783	101518862	miRNA_primary_transcript	1	+	ID=MI0002471;Alias=MI0002471;Name=hsa-mir-487a
chr14	101520095	101522637	Chesi, A. et al.	chr14	101520643	101520718	miRNA_primary_transcript	1	+	ID=MI0000790;Alias=MI0000790;Name=hsa-mir-382
chr14	101520095	101522637	Chesi, A. et al.	chr14	101521024	101521096	miRNA_primary_transcript	1	+	ID=MI0000474;Alias=MI0000474;Name=hsa-mir-134
chr14	101520095	101522637	Chesi, A. et al.	chr14	101521595	101521660	miRNA_primary_transcript	1	+	ID=MI0003761;Alias=MI0003761;Name=hsa-mir-668
chr14	101520095	101522637	Chesi, A. et al.	chr14	101521756	101521828	miRNA_primary_transcript	1	+	ID=MI0002469;Alias=MI0002469;Name=hsa-mir-485
chr14	101520095	101522637	Chesi, A. et al.	chr14	101522556	101522637	miRNA_primary_transcript	1	+	ID=MI0014206;Alias=MI0014206;Name=hsa-mir-323b
chr14	101525820	101527062	Chesi, A. et al.	chr14	101526092	101526175	miRNA_primary_transcript	1	+	ID=MI0000480;Alias=MI0000480;Name=hsa-mir-154
chr14	101525820	101527062	Chesi, A. et al.	chr14	101526910	101527011	miRNA_primary_transcript	1	+	ID=MI0003136;Alias=MI0003136;Name=hsa-mir-496
chr14	101527062	101528729	Chesi, A. et al.	chr14	101528387	101528455	miRNA_primary_transcript	1	+	ID=MI0000785;Alias=MI0000785;Name=hsa-mir-377
chr14	101530486	101531171	Chesi, A. et al.	chr14	101530832	101530915	miRNA_primary_transcript	1	+	ID=MI0005539;Alias=MI0005539;Name=hsa-mir-541
chr14	101531418	101531901	Chesi, A. et al.	chr14	101531637	101531715	miRNA_primary_transcript	1	+	ID=MI0001735;Alias=MI0001735;Name=hsa-mir-409
chr14	101531418	101531901	Chesi, A. et al.	chr14	101531784	101531874	miRNA_primary_transcript	1	+	ID=MI0002464;Alias=MI0002464;Name=hsa-mir-412
chr14	101531418	101531901	Chesi, A. et al.	chr14	101531935	101532004	miRNA_primary_transcript	1	+	ID=MI0000777;Alias=MI0000777;Name=hsa-mir-369
chr14	101531991	101532850	Chesi, A. et al.	chr14	101532249	101532328	miRNA_primary_transcript	1	+	ID=MI0002465;Alias=MI0002465;Name=hsa-mir-410
chr14	101532850	101533579	Chesi, A. et al.	chr14	101533061	101533138	miRNA_primary_transcript	1	+	ID=MI0003678;Alias=MI0003678;Name=hsa-mir-656
chr14	102026479	102027725	Chesi, A. et al.	chr14	102026624	102026759	miRNA_primary_transcript	1	-	ID=MI0006382;Alias=MI0006382;Name=hsa-mir-1247
chr14	103005344	103006009	Chesi, A. et al.	chr14	103005981	103006063	miRNA_primary_transcript	1	+	ID=MI0015837;Alias=MI0015837;Name=hsa-mir-4309
chr14	104583671	104585008	Chesi, A. et al.	chr14	104583742	104583851	miRNA_primary_transcript	1	+	ID=MI0000283;Alias=MI0000283;Name=hsa-mir-203a
chr14	104583671	104585008	Chesi, A. et al.	chr14	104583755	104583840	miRNA_primary_transcript	1	-	ID=MI0017343;Alias=MI0017343;Name=hsa-mir-203b
chr14	105143598	105144517	Chesi, A. et al.	chr14	105144031	105144086	miRNA_primary_transcript	1	-	ID=MI0017344;Alias=MI0017344;Name=hsa-mir-4710
chr14	105329151	105331748	miRBase_v22_upstream_2k5	chr14	105331651	105331748	miRNA_primary_transcript	1	+	ID=MI0039723;Alias=MI0039723;Name=hsa-mir-12121
chr14	105616112	105620254	Chesi, A. et al.	chr14	105617115	105617201	miRNA_primary_transcript	1	-	ID=MI0022610;Alias=MI0022610;Name=hsa-mir-6765
chr14	106084953	106087517	miRBase_v22_upstream_2k5	chr14	106087453	106087517	miRNA_primary_transcript	1	+	ID=MI0025907;Alias=MI0025907;Name=hsa-mir-8071-1
chr14	106104005	106106569	miRBase_v22_upstream_2k5	chr14	106106505	106106569	miRNA_primary_transcript	1	+	ID=MI0026417;Alias=MI0026417;Name=hsa-mir-8071-2
chr14	106324757	106328339	Chesi, A. et al.	chr14	106323682	106323741	miRNA_primary_transcript	1	-	ID=MI0016910;Alias=MI0016910;Name=hsa-mir-4539
chr14	106324757	106328339	Chesi, A. et al.	chr14	106324293	106324344	miRNA_primary_transcript	1	-	ID=MI0016871;Alias=MI0016871;Name=hsa-mir-4507
chr17	73995486	73997532	Chesi, A. et al.	chr14	106324334	106324411	miRNA_primary_transcript	1	-	ID=MI0016909;Alias=MI0016909;Name=hsa-mir-4538
chr14	106324757	106328339	Chesi, A. et al.	chr14	106325653	106325722	miRNA_primary_transcript	1	-	ID=MI0016908;Alias=MI0016908;Name=hsa-mir-4537
chr14	107258601	107259519	Chesi, A. et al.	chr14	107259100	107259214	miRNA_primary_transcript	1	-	ID=MI0018174;Alias=MI0018174;Name=hsa-mir-5195
chr15	21035624	21038198	miRBase_v22_upstream_2k5	chr15	21038124	21038198	miRNA_primary_transcript	1	+	ID=MI0014132;Alias=MI0014132;Name=hsa-mir-3118-2
chr15	21143081	21145662	miRBase_v22_upstream_2k5	chr15	21145581	21145662	miRNA_primary_transcript	1	+	ID=MI0019308;Alias=MI0019308;Name=hsa-mir-5701-1
chr15	22046774	22049348	miRBase_v22_upstream_2k5	chr15	22049274	22049348	miRNA_primary_transcript	1	+	ID=MI0014133;Alias=MI0014133;Name=hsa-mir-3118-3
chr15	22154266	22156847	miRBase_v22_upstream_2k5	chr15	22156766	22156847	miRNA_primary_transcript	1	+	ID=MI0019593;Alias=MI0019593;Name=hsa-mir-5701-2
chr15	22046774	22049348	miRBase_v22_upstream_2k5	chr15	22049274	22049348	miRNA_primary_transcript	1	+	ID=MI0014207;Alias=MI0014207;Name=hsa-mir-3118-4
chr15	22154266	22156847	miRBase_v22_upstream_2k5	chr15	22156766	22156847	miRNA_primary_transcript	1	+	ID=MI0031522;Alias=MI0031522;Name=hsa-mir-5701-3
chr9	131114257	131115235	Chesi, A. et al.	chr15	22513229	22513280	miRNA_primary_transcript	1	-	ID=MI0006405;Alias=MI0006405;Name=hsa-mir-1268a
chr15	22672647	22675240	miRBase_v22_upstream_2k5	chr15	22675147	22675240	miRNA_primary_transcript	1	-	ID=MI0016873;Alias=MI0016873;Name=hsa-mir-4509-1
chr15	23806978	23807313	Chesi, A. et al.	chr15	23807209	23807278	miRNA_primary_transcript	1	-	ID=MI0016872;Alias=MI0016872;Name=hsa-mir-4508
chr15	26093794	26094784	Chesi, A. et al.	chr15	26093894	26093972	miRNA_primary_transcript	1	-	ID=MI0017349;Alias=MI0017349;Name=hsa-mir-4715
chr15	28669137	28671730	miRBase_v22_upstream_2k5	chr15	28671637	28671730	miRNA_primary_transcript	1	+	ID=MI0016874;Alias=MI0016874;Name=hsa-mir-4509-2
chr15	28733398	28735991	miRBase_v22_upstream_2k5	chr15	28735898	28735991	miRNA_primary_transcript	1	-	ID=MI0016875;Alias=MI0016875;Name=hsa-mir-4509-3
chr15	31356798	31357432	Chesi, A. et al.	chr15	31357235	31357344	miRNA_primary_transcript	1	-	ID=MI0000287;Alias=MI0000287;Name=hsa-mir-211
chr15	34671770	34674351	miRBase_v22_upstream_2k5	chr15	34674270	34674351	miRNA_primary_transcript	1	-	ID=MI0006323;Alias=MI0006323;Name=hsa-mir-1233-1
chr15	34817991	34820572	miRBase_v22_upstream_2k5	chr15	34820491	34820572	miRNA_primary_transcript	1	-	ID=MI0015973;Alias=MI0015973;Name=hsa-mir-1233-2
chr15	35663376	35665415	Chesi, A. et al.	chr15	35664457	35664565	miRNA_primary_transcript	1	-	ID=MI0016599;Alias=MI0016599;Name=hsa-mir-3942
chr15	36218997	36219819	Chesi, A. et al.	chr15	36219057	36219124	miRNA_primary_transcript	1	+	ID=MI0016876;Alias=MI0016876;Name=hsa-mir-4510
chr15	37264695	37265658	Chesi, A. et al.	chr15	37265022	37265102	miRNA_primary_transcript	1	-	ID=MI0025899;Alias=MI0025899;Name=hsa-mir-8063
chr15	41983836	41984149	Chesi, A. et al.	chr15	41983783	41983876	miRNA_primary_transcript	1	+	ID=MI0003640;Alias=MI0003640;Name=hsa-mir-626
chr15	42158676	42159007	Chesi, A. et al.	chr15	42158693	42158749	miRNA_primary_transcript	1	-	ID=MI0015840;Alias=MI0015840;Name=hsa-mir-4310
chr15	42489268	42491864	miRBase_v22_upstream_2k5	chr15	42491768	42491864	miRNA_primary_transcript	1	-	ID=MI0003641;Alias=MI0003641;Name=hsa-mir-627
chr15	44085916	44086533	Chesi, A. et al.	chr15	44085857	44085957	miRNA_primary_transcript	1	-	ID=MI0006429;Alias=MI0006429;Name=hsa-mir-1282
chr15	45007542	45010091	miRBase_v22_upstream_2k5	chr15	45010042	45010091	miRNA_primary_transcript	1	+	ID=MI0033417;Alias=MI0033417;Name=hsa-mir-10393
chr15	45724920	45725451	Chesi, A. et al.	chr15	45725248	45725327	miRNA_primary_transcript	1	+	ID=MI0005544;Alias=MI0005544;Name=hsa-mir-147b
chr15	49460865	49461563	Chesi, A. et al.	chr15	49461267	49461350	miRNA_primary_transcript	1	-	ID=MI0017350;Alias=MI0017350;Name=hsa-mir-4716
chr15	50652055	50652831	Chesi, A. et al.	chr15	50652526	50652607	miRNA_primary_transcript	1	+	ID=MI0017346;Alias=MI0017346;Name=hsa-mir-4712
chr15	51534432	51534855	Chesi, A. et al.	chr15	51534387	51534461	miRNA_primary_transcript	1	+	ID=MI0017347;Alias=MI0017347;Name=hsa-mir-4713
chr15	51606017	51607213	Chesi, A. et al.	chr15	51606229	51606304	miRNA_primary_transcript	1	-	ID=MI0025749;Alias=MI0025749;Name=hsa-mir-7973-2
chr15	51606017	51607213	Chesi, A. et al.	chr15	51606231	51606306	miRNA_primary_transcript	1	+	ID=MI0025748;Alias=MI0025748;Name=hsa-mir-7973-1
chr15	52568075	52570443	Chesi, A. et al.	chr15	52569314	52569397	miRNA_primary_transcript	1	-	ID=MI0006403;Alias=MI0006403;Name=hsa-mir-1266
chr15	55665089	55665635	Chesi, A. et al.	chr15	55665138	55665232	miRNA_primary_transcript	1	-	ID=MI0003642;Alias=MI0003642;Name=hsa-mir-628
chr15	59462310	59463847	Chesi, A. et al.	chr15	59463382	59463461	miRNA_primary_transcript	1	-	ID=MI0010635;Alias=MI0010635;Name=hsa-mir-2116
chr15	62596889	62597124	Chesi, A. et al.	chr15	62596857	62596933	miRNA_primary_transcript	1	-	ID=MI0025903;Alias=MI0025903;Name=hsa-mir-8067
chr15	62634880	62635339	Chesi, A. et al.	chr15	62635228	62635337	miRNA_primary_transcript	1	+	ID=MI0020362;Alias=MI0020362;Name=hsa-mir-6085
chr15	63115923	63116608	Chesi, A. et al.	chr15	63116156	63116240	miRNA_primary_transcript	1	+	ID=MI0000486;Alias=MI0000486;Name=hsa-mir-190a
chr15	64162688	64163989	Chesi, A. et al.	chr15	64163129	64163218	miRNA_primary_transcript	1	-	ID=MI0001444;Alias=MI0001444;Name=hsa-mir-422a
chr15	65054707	65055498	Chesi, A. et al.	chr15	65054586	65054714	miRNA_primary_transcript	1	-	ID=MI0006408;Alias=MI0006408;Name=hsa-mir-1272
chr15	66011355	66011821	Chesi, A. et al.	chr15	66011584	66011670	miRNA_primary_transcript	1	-	ID=MI0016877;Alias=MI0016877;Name=hsa-mir-4511
chr15	66331706	66332650	Chesi, A. et al.	chr15	66332571	66332670	miRNA_primary_transcript	1	+	ID=MI0015841;Alias=MI0015841;Name=hsa-mir-4311
chr15	66789279	66789532	Chesi, A. et al.	chr15	66789296	66789372	miRNA_primary_transcript	1	-	ID=MI0016878;Alias=MI0016878;Name=hsa-mir-4512
chr15	69093861	69094335	Chesi, A. et al.	chr15	69094189	69094264	miRNA_primary_transcript	1	-	ID=MI0015842;Alias=MI0015842;Name=hsa-mir-4312
chr15	70371406	70372360	Chesi, A. et al.	chr15	70371711	70371807	miRNA_primary_transcript	1	-	ID=MI0003643;Alias=MI0003643;Name=hsa-mir-629
chr15	72879399	72879731	Chesi, A. et al.	chr15	72879558	72879654	miRNA_primary_transcript	1	+	ID=MI0003644;Alias=MI0003644;Name=hsa-mir-630
chr15	73589751	73592320	miRBase_v22_upstream_2k5	chr15	73592251	73592320	miRNA_primary_transcript	1	+	ID=MI0039739;Alias=MI0039739;Name=hsa-mir-12135
chr15	74703720	74703879	Chesi, A. et al.	chr15	74703698	74703773	miRNA_primary_transcript	1	-	ID=MI0022728;Alias=MI0022728;Name=hsa-mir-6881
chr15	75081005	75083433	Chesi, A. et al.	chr15	75081013	75081098	miRNA_primary_transcript	1	-	ID=MI0016879;Alias=MI0016879;Name=hsa-mir-4513
chr15	75132595	75133085	Chesi, A. et al.	chr15	75132983	75133048	miRNA_primary_transcript	1	-	ID=MI0022729;Alias=MI0022729;Name=hsa-mir-6882
